title,artist
I Won't Give Up,Jason Mraz
Castle on the Hill,Ed Sheeran
That's What I Like,Bruno Mars
"Boulevard Of Broken Dreams - feat. John Gallagher Jr., Rebecca Naomi Jones, Stark Sands, Company [Album Version]",Green Day
Fast Car - 2015 Remastered,Tracy Chapman
How You Remind Me,Nickelback
Iris,The Goo Goo Dolls
HARD LOVE (feat. Andra Day),NEEDTOBREATHE
Fix You,Coldplay
Nothing of You Left to Love,Stephanie Rainey
Untouched,The Veronicas
Wild Horses,Birdy
Kiss Me,Sixpence None The Richer
Sussudio - 2016 Remastered,Phil Collins
Everywhere - Remastered,Fleetwood Mac
Pack Up,ELIZA
When Love Takes Over (feat. Kelly Rowland),David Guetta
Angels On My Side,Rick Astley
I Don't Know Why - Danny Avila Remix,Gavin James
You Raise Me Up,Josh Groban
New Shoes,Paolo Nutini
Bad Day,Daniel Powter
Looking Up,SafetySuit
Hold Me Up,Conrad Sewell
My Girl,The Temptations
Uprising,Muse
One Call Away,Charlie Puth
Edge of Seventeen,Stevie Nicks
Semi-Charmed Life,Third Eye Blind
Adventure Of A Lifetime,Coldplay
