title,artist,lyrics,Category
Even If,MercyMe,"Sometimes you lose some
And right now, right now I'm losing bad
I've stood on this stage night after night
Reminding the broken it'll be all right
But right now, oh right now I just can't

It's easy to sing
When there's nothing to bring me down
But what will I say
When I'm held to the flame
Like I am right now

I know You're able and I know You can
Save through the fire with Your mighty hand
But even if You don't
My hope is You alone

They say it only takes a little faith
To move a mountain
Well, good thing
A little faith is all I have right now
But God, when You choose
To leave mountains unmovable
Give me the strength to be able to sing
It is well with my soul

I know You're able and I know You can
Save through the fire with Your mighty hand
But even if You don't
My hope is You alone
I know the sorrow, and I know the hurt
Would all go away if You'd just say the word
But even if You don't
My hope is You alone

You've been faithful, You've been good
All of my days
Jesus, I will cling to You
Come what may
'Cause I know You're able
I know You can

I know You're able and I know You can
Save through the fire with Your mighty hand
But even if You don't
My hope is You alone
I know the sorrow, and I know the hurt
Would all go away if You'd just say the word
But even if You don't
My hope is You alone

It is well with my soul
It is well, it is well with my soul",Inspiring
Broken Things,Matthew West,"I stopped at the gate
Thinking I don't deserve to pass through after all the mistakes that I've made

Oh but I heard a whisper
As Heaven bent down
Said, ""Child, don't you know that the first will be last and the last get a crown""

Now I'm just a beggar in the presence of a King
I wish I could bring so much more
But if it's true You use broken things
Then here I am Lord, I'm all Yours

The pages of history they tell me it's true
That it's never the perfect; it's always the ones with the scars that You use

It's the rebels and the prodigals; it's the humble and the weak
All the misfit heroes You chose
Tell me there's hope for sinners like me

Now I'm just a beggar in the presence of a King
I wish I could bring so much more
But if it's true You use broken things
Then here I am Lord, I'm all Yours

Grace is a kingdom
With gates open wide
There's a seat at the table just waiting for you
So, come on inside",Inspiring
Old Church Choir,Zach Williams,"Like a wildfire in my heart
Sunday morning, Hallelujah
And it's lasting all week long

Can you hear it?
Can you feel it?
It's the rhythm of a gospel song
Oh once you choose it, you can lose it
There ain't nothing there ain't nothing gonna steal my joy
I got an Old Church Choir singing in my soul
I got a sweet salvation and it's beautiful
I've got a heart overflowing 'cause I've been restored
There ain't nothing gonna steal my joy
No there ain't nothing gonna steal my joy

When the valleys, that I wander
Turn to mountains that I can climb
Oh, you are with me, never leave me
Oh cause there ain't nothing there ain't nothing gonna steal my joy

I got an Old Church Choir singing in my soul
I got a sweet salvation and it's beautiful
I've got a heart overflowing 'cause I've been restored
There ain't nothing gonna steal my joy
No there ain't nothing gonna steel my joy

Clap your hands and stomp your feet
Till you find that gospel beat
'Cause it's all you'll ever need
Clap your hands and stomp your feet
Till you find that gospel beat
'Cause it's all you'll ever need
All you'll ever need

I've got an old church choir, singing in my soul
I got a sweet salvation, and it's beautiful

I got an Old Church Choir singing in my soul
I got a sweet salvation and it's beautiful
I've got a heart overflowing 'cause I've been restored
There ain't nothing gonna steal my joy
No there ain't nothing gonna steal my joy
Oh there ain't nothing gonna steal my joy",Inspiring
O Come to the Altar,Elevation Worship,"Overwhelmed by the weight of your sin
Jesus is calling
Have you come to the end of yourself
Do you thirst for a drink from the well
Jesus is calling

O come to the altar
The Father's arms are open wide
Forgiveness was bought with
The precious blood of Jesus Christ

Leave behind your regrets and mistakes
Come today there’s no reason to wait
Jesus is calling
Bring your sorrows and trade them for joy
From the ashes a new life is born
Jesus is calling, oh

O come to the altar
The Father's arms are open wide
Forgiveness was bought with
The precious blood of Jesus Christ

O come to the altar
The Father's arms are open wide
Forgiveness was bought with
The precious blood of Jesus Christ

Savior, what a Savior

Oh what a Savior
Isn't He wonderful
Sing hallelujah, Christ is risen
Bow down before him
For He is Lord of all
Sing hallelujah, Christ is risen

Oh what a Savior
Isn't He wonderful
Sing hallelujah, Christ is risen
Bow down before him
For He is Lord of all
Sing hallelujah, Christ is risen

O come to the altar
The Father's arms are open wide
Forgiveness was bought with, oh
The precious blood of Jesus Christ

O come to the altar
The Father's arms are open wide
Forgiveness was bought with
The precious blood of Jesus Christ, oh

Thank You, Lord

Bear your cross as you wait for the crown
Tell the world of the treasure you've found",Inspiring
Different,Micah Tyler,"I don't wanna see anymore, give me a vision
That you could move this heart, to be set apart
I don't need to recognize the man in the mirror
And I don't wanna trade Your plan for something familiar
I can't waste a day, I can't stay the same

I wanna be different
I wanna be changed
'Til all of me is gone
And all that remains
Is a fire so bright
The whole world can see
That there's something different
So come and be different
In me

And I don't wanna spend my life stuck in a pattern
And I don't wanna gain this world but lose what matters
And so I'm giving up everything because

I wanna be different
I wanna be changed
'Til all of me is gone
And all that remains
Is a fire so bright
The whole world can see
That there's something different
So come and be different, oh

I know, that I am far from perfect
But through You, the cross still says I'm worth it
So take this beating in my heart and
Come and finish what You started
When they see me, let them see You
'Cause I just wanna be different, yea

I wanna be different
I wanna be changed
'Til all of me is gone
And all that remains
Oh is a fire so bright
The whole world can see
That there's something different
So come and be different
I just wanna be different
So could You be different
In me",Inspiring
Oh My Soul,Casting Crowns,"Oh, how you worry
Oh, how you're weary, from fearing you lost control
This was the one thing, you didn't see coming
And no one would blame you, though
If you cried in private
If you tried to hide it away, so no one knows
No one will see, if you stop believing

Oh, my soul
You are not alone
There's a place where fear has to face the God you know
One more day, He will make a way
Let Him show you how, you can lay this down
'Cause you're not alone

Here and now
You can be honest
I won't try to promise that someday it all works out
'Cause this is the valley
And even now, He is breathing on your dry bones
And there will be dancing
There will be beauty where beauty was ash and stone
This much I know

I'm not strong enough, I can't take anymore
(You can lay it down, you can lay it down)
And my shipwrecked faith will never get me to shore
(You can lay it down, you can lay it down)
Can He find me here
Can He keep me from going under

Oh, my soul
You're not alone",Inspiring
Point to You,We Are Messengers,"How can I move on when all I have is regrets
How can I fix you when I keep turning away
How can I make it past the noise with my shame

I need a miracle
Some healing for my heart
I need a revelation
A brand new start
I want simplicity
Where I can rest
But I need a miracle to put my past to death

I know You want my heart
My bruises and my scars
I'm coming as I am
The only way I can
I can't forget from where I've come
And what my heart's been rescued from
Yeah when they ask me who
I owe my whole life to
I point to You
I point to You

I want so badly just to finally get well
But I don't want a quick fix and emotional self
I will be honest with my humanity
No I'm not perfect and I don't pretend to be

I need a miracle
Some healing for my heart
I need a revelation
A brand new start
I want simplicity
Where I can rest
But I need a miracle to put my past to death

I know You want my heart
My bruises and my scars
I'm coming as I am
The only way I can
I can't forget from where I've come
And what my heart's been rescued from
Yeah when they ask me who
I owe my whole life to
I point to You
I point to You

People say that I've lost myself
I'll say I'm found in You
People ask where does my story end
I'll say it starts with You

I know You want my heart
My bruises and my scars
I'm coming as I am
I know You want my heart
My bruises and my scars
I'm coming as I am
The only way I can
I can't forget from where I've come
And what my heart's been rescued from
Yeah when they ask me who
I owe my whole life to
I point to You
I point to You
I point to You
I point to You",Inspiring
Lights Shine Bright (feat. Hollyn),tobyMac,"Music for the people to illuminate the soul
Lights shine bright everywhere we go
Music for the people, makin' music for the people

I wanna magnify Your light
I wanna reflect the sun
Cut like precious diamonds
With the colors by the millions
This is the only world we know
And for now this rental's our home
If we gonna be a reflection
Gotta make this third rock glow
(Just so you know ...)

Lights shine bright everywhere we go
Music for the people to illuminate the soul
Lights shine bright everywhere we go
Music for the people, makin' music for the people

Lights shine bright everywhere we go
Music for the people to illuminate the soul
Lights shine bright everywhere we go
Music for the people
Jesus music for the people

Everywhere we go
Lights shine bright, lights shine bright
Everywhere we go
Lights shine bright, lights shine bright

Lights in the city might be more than pretty, pretty
That freaky shine might be more than meets the eye
Anytime you see that sparkle in the dark you might look deeper, deeper
It might be more than simply theatre

Yo, that smile might be joy that's connected to the spirit
The spirit might be contagious if you dare, you dare come near it
I remember, can't forget, peace that you can't second guess
Sparkle as the light reflects we writin' pay it forward checks

Lights shine bright everywhere we go
Music for the people to illuminate the soul
Lights shine bright everywhere we go
Music for the people, makin' music for the people

Lights shine bright everywhere we go
Music for the people to illuminate the soul
Lights shine bright everywhere we go
Music for the people
Jesus music for the people

Everywhere we go
Lights shine bright, lights shine bright
Everywhere we go
Lights shine bright, lights shine bright

The lights in the city shine bright
The lights in the city shine bright
So let your heart light shine tonight

Lights shine bright everywhere we go
Music for the people to illuminate the soul
Lights shine bright everywhere we go
Music for the people, makin' music for the people

Lights shine bright everywhere we go
Music for the people to illuminate the soul
Lights shine bright everywhere we go
Music for the people
Jesus music for the people

Everywhere we go
Lights shine bright, lights shine bright
Everywhere we go
Lights shine bright, lights shine bright...",Inspiring
Bulletproof,Citizen Way,"Dodging arrows from my past
I had no hope for tomorrow
Felt so much pressure yes I thought I would crack
But now there's no looking back
I'm moving forward 'cause I know
I got my armor now
No fear no doubt can shoot me down
I got my armor now
No fear no doubt gonna shoot me down
Now I'm bulletproof because of you You
Because of You
And now I'm bulletproof because of you You
Because of You
You conquered the grave
Your love Love made a way
Now I'm not afraid
No matter what the world may say or what they do
I am bulletproof because of you You, because of You
I know You got this whole thing under control
My soul is untouchable because
You've already won me
My victory is not in this flesh and bone
It's in the cross and I know
Nobody's taking it from me
I got my armor now
No fear no doubt can shoot me down
I got my armor now
No fear no doubt gonna shoot me down
I don't have to fear no more, worry no more",Inspiring
What a Beautiful Name (Live),Hillsong Worship,"One with God, the Lord Most High
Your hidden glory in creation
Now revealed in You our Christ

What a beautiful name it is
What a beautiful name it is
The name of Jesus Christ my King

What a beautiful name it is
Nothing compares to this
What a beautiful name it is
The Name of Jesus

You didn't want heaven without us
So Jesus, You brought heaven down
My sin was great, Your love was greater
What could separate us now

What a wonderful name it is
What a wonderful name it is
The name of Jesus Christ my King

What a wonderful name it is
Nothing compares to this
What a wonderful name it is
The name of Jesus

What a wonderful name it is
The name of Jesus

How sweet is Your name, O God
How good You are
We love to sing of Your name, Lord
Love to sing of who You are

Death could not hold You, the veil tore before You
You silence the boast of sin and grave
The heavens are roaring the praise of Your glory
For You are raised to life again

You have no rival, You have no equal
Now and forever, God You reign
Yours is the kingdom, Yours is the glory
Yours is the name above all names

What a powerful name it is
What a powerful name it is
The name of Jesus Christ my King

What a powerful name it is
Nothing can stand against
What a powerful name it is
The name of Jesus

You have no rival, You have no equal
Now and forever, God You reign
Yours is the kingdom, Yours is the glory
Yours is the name above all names

What a powerful name it is
What a powerful name it is
The name of Jesus Christ my King

What a powerful name it is
Nothing can stand against
What a powerful name it is
The name of Jesus

What a powerful name it is
The name of Jesus
What a powerful name it is
The name of Jesus",Inspiring
